Datum,Warengruppe,Umsatz,wochentag,m,y,r_mean,perc
2020-03-04,2,245.763756402542,Wednesday,3,2020,6980.005648327899,1.094338450076599
2020-03-05,2,286.95349291088,Thursday,3,2020,7032.885139098127,1.1114869607647777
2020-03-06,2,272.308340116244,Friday,3,2020,7036.408494823179,1.1009419366383704
2020-03-07,2,226.23550008904,Saturday,3,2020,6997.454426175839,1.0909408220960903
2020-03-09,2,280.960421609836,Monday,3,2020,6993.046225566116,1.0924421147351344
2020-03-10,2,181.034940904951,Tuesday,3,2020,6902.5714267441745,1.0740199012741114
2020-03-11,2,255.393356259286,Wednesday,3,2020,6861.358876282229,1.0538980994885951
2020-03-12,2,265.703705713288,Thursday,3,2020,6919.299377720431,1.0612912856141803
2020-03-13,2,204.333274796545,Friday,3,2020,6920.411070094259,1.0614130239681139
2020-03-14,2,131.627032718629,Saturday,3,2020,6856.415046273397,1.0457149729007913
2020-03-16,2,242.138992742874,Monday,3,2020,6855.204418464068,1.0380628715319304
2020-03-17,2,216.484718360913,Tuesday,3,2020,6858.098887154393,1.0349599327513495
2020-03-18,2,167.547670637872,Wednesday,3,2020,6765.249099483546,1.0194874017211073
2020-03-20,2,140.660434985467,Friday,3,2020,6658.667350508906,0.9947040217341844
2020-03-21,2,64.0595959734025,Saturday,3,2020,6467.133713390396,0.9605674039388951
2020-03-23,2,103.127078625358,Monday,3,2020,6311.212438277265,0.9382362113297333
2020-03-24,2,113.00176377091,Tuesday,3,2020,6181.972833971758,0.9151792210058382
2020-03-25,2,137.108194439053,Wednesday,3,2020,6062.134228191425,0.8871859932848595
2020-03-26,2,120.417515895279,Thursday,3,2020,5936.232142189867,0.8611067693341792
2020-03-27,2,144.161278882312,Friday,3,2020,5917.375200157405,0.8554295202743037
2020-03-28,2,70.0936478009069,Saturday,3,2020,5702.381107019249,0.8172387346552816
2020-03-30,2,132.135708365266,Monday,3,2020,5580.739564821929,0.795695996265592
2020-03-31,2,142.006009099186,Tuesday,3,2020,5458.482293656105,0.7684368756977676
2020-04-01,2,131.909719152972,Wednesday,4,2020,5301.833894494276,0.7261919645140875
2020-04-02,2,132.123502861509,Thursday,4,2020,5160.976966670542,0.7048087620485627
2020-04-03,2,142.18870733253,Friday,4,2020,5085.159976356453,0.6978320528238375
2020-04-04,2,81.2913559549732,Saturday,4,2020,4862.179569641338,0.6615616811070124
2020-04-06,2,122.832855831284,Monday,4,2020,4753.602572233309,0.6393865766270603
2020-04-07,2,122.841114195822,Tuesday,4,2020,4630.679930026588,0.6264621530507732
2020-04-08,2,122.070680148004,Wednesday,4,2020,4465.797117263713,0.6038209640374362
2020-04-09,2,183.571561990339,Thursday,4,2020,4377.060339137807,0.5976308473151417
2020-04-17,2,134.243447596991,Friday,4,2020,4285.068286645758,0.5856371663623163
2020-04-18,2,91.0986213274693,Saturday,4,2020,4095.206486363392,0.5618056702775985
2020-04-20,2,139.266076237349,Monday,4,2020,4053.43762169579,0.5616213597385536
2020-04-21,2,156.769230200368,Tuesday,4,2020,3954.8134956368717,0.5525979692079133
2020-04-22,2,114.781535211802,Wednesday,4,2020,3803.891325135386,0.5343394319637679
2020-04-23,2,115.073762407871,Thursday,4,2020,3714.631812746712,0.5228673558702883
2020-04-24,2,120.757828172528,Friday,4,2020,3703.762608200611,0.528863801865995
2020-04-25,2,106.73314517991,Saturday,4,2020,3568.356760637647,0.5151358031342356
2020-04-27,2,162.464901492797,Monday,4,2020,3514.336943769531,0.5151574618875063
2020-04-28,2,109.831020168564,Tuesday,4,2020,3456.620293300223,0.5057378029808421
2020-04-29,2,113.372623164701,Wednesday,4,2020,3429.332481479457,0.5098831265676996
2020-04-30,2,155.765846620939,Thursday,4,2020,3521.038732126993,0.4846895813306414
2020-05-02,2,89.7996359332227,Saturday,5,2020,3507.711289434858,0.4850917950441918
2020-05-04,2,141.12169808209,Monday,5,2020,3535.831223746038,0.4947457282837482
2020-05-05,2,142.595060731613,Tuesday,5,2020,3541.3180900385983,0.4967688465151109
2020-05-06,2,133.144336961953,Wednesday,5,2020,3554.044911105272,0.5032139307213919
2020-05-07,2,172.326535675387,Thursday,5,2020,3582.210167898347,0.5113113408700624
2020-05-08,2,143.635533528681,Friday,5,2020,3655.7520536261213,0.5235652202921912
2020-05-09,2,110.004675937586,Saturday,5,2020,3633.621021198441,0.5283792940667332
2020-05-11,2,147.213830844828,Monday,5,2020,3638.828842944083,0.5358837350216412
2020-05-12,2,149.25746591602,Tuesday,5,2020,3656.1765897071314,0.5479673720168259
2020-05-13,2,109.179897131727,Wednesday,5,2020,3633.2329839773492,0.5486317231356488
2020-05-14,2,167.734130023383,Thursday,5,2020,3658.778406668202,0.551963905158417
2020-05-15,2,120.432209637983,Friday,5,2020,3697.919260351212,0.5641483183620257
2020-05-16,2,102.830676964447,Saturday,5,2020,3677.917081484375,0.5677821782027913
2020-05-18,2,149.517970330461,Monday,5,2020,3704.593937619014,0.5738348487521627
2020-05-19,2,134.731398003664,Tuesday,5,2020,3717.254655474674,0.5724178973283489
2020-05-20,2,140.662855584567,Wednesday,5,2020,3674.345949068902,0.5650984341899635
2020-05-22,2,148.791253361642,Friday,5,2020,3688.893754833553,0.5654656902796109
2020-05-23,2,132.330699675286,Saturday,5,2020,3730.1258331813697,0.568051230877171
2020-05-25,2,204.177650402039,Monday,5,2020,3795.03740734606,0.5509268624779067
2020-05-26,2,124.840061613461,Tuesday,5,2020,3763.1082387591528,0.5473612667262259
2020-05-27,2,158.121203414712,Wednesday,5,2020,3806.447906962063,0.5566188951697626
2020-05-28,2,126.334103908549,Thursday,5,2020,3817.708248462741,0.5605287723626886
2020-05-29,2,149.688312241931,Friday,5,2020,3846.638732532144,0.5620174557811325
2020-05-30,2,116.130224108261,Saturday,5,2020,3856.0358114604946,0.5638811309647258
2020-01-02,3,292.883325004111,Thursday,1,2020,7808.59141044475,1.1481221768799146
2020-01-03,3,266.259513366837,Friday,1,2020,7800.714243112967,1.1576935582455943
2020-01-04,3,213.40947605037601,Saturday,1,2020,7768.521896321945,1.1491465222688175
2020-01-06,3,329.952123157015,Monday,1,2020,7836.509592969652,1.155177036327811
2020-01-07,3,294.991432988666,Tuesday,1,2020,7832.676589087054,1.1475052492324338
2020-01-08,3,290.43640365273,Wednesday,1,2020,7773.169241057603,1.135785412620318
2020-01-09,3,286.200499272911,Thursday,1,2020,7763.243265283954,1.1173756576499596
2020-01-10,3,254.188854463188,Friday,1,2020,7704.450723727424,1.106248683726091
2020-01-11,3,241.678382109051,Saturday,1,2020,7700.533141366591,1.1124425703393181
2020-01-13,3,276.811838708771,Monday,1,2020,7667.6853586129855,1.0973792500633288
2020-01-14,3,243.313602501413,Tuesday,1,2020,7606.3436616324825,1.0853961196989659
2020-01-15,3,203.73174809624,Wednesday,1,2020,7498.646912855783,1.0744349704326481
2020-01-16,3,295.148605091804,Thursday,1,2020,7539.130981171628,1.0766820029411075
2020-01-17,3,268.015070728948,Friday,1,2020,7456.34322974336,1.0888988588401405
2020-01-18,3,245.722458891766,Saturday,1,2020,7410.358938367762,1.0833529281533123
2020-01-20,3,285.822070937831,Monday,1,2020,7470.248755461774,1.0895576504265239
2020-01-21,3,282.208434351401,Tuesday,1,2020,7440.189611941063,1.0771996675027347
2020-01-22,3,309.169114462229,Wednesday,1,2020,7449.369946995514,1.0793098309545908
2020-01-23,3,256.662241429878,Thursday,1,2020,7422.269899137225,1.060964408723315
2020-01-24,3,270.428338015918,Friday,1,2020,7353.782736772647,1.0600459757783474
2020-01-25,3,230.663007561275,Saturday,1,2020,7290.43982817138,1.0403133536375424
2020-01-27,3,313.490223884136,Monday,1,2020,7349.090879016856,1.0440349377751252
2020-01-28,3,263.937394085088,Tuesday,1,2020,7287.702807116967,1.02765083529589
2020-01-29,3,267.59800019409,Wednesday,1,2020,7425.987860237788,1.0511581615286465
